Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Volume,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
14.08.2020,1957.255,1961.408,1932.025,1943.998,14.413,1260,1935.025,1961.788,1923.608,1929.585,1380,-27.533,7750.006,-32.203,38.18,1
11.06.2023,1959.324,1960.505,1957.844,1959.905,15.907,120,1957.255,1961.408,1932.025,1943.998,1260,14.413,7794.686,-17.41,29.383,0
30.07.2023,1958.608,1960.455,1957.204,1957.875,-2.03,120,1959.324,1960.505,1957.844,1959.905,120,15.907,7837.578,-0.6,2.661,0
14.06.2023,1943.845,1960.205,1939.498,1945.185,-12.69,1380,1958.608,1960.455,1957.204,1957.875,120,-2.03,7834.142,-2.58,3.251,1
06.11.2020,1946.068,1960.198,1935.468,1950.298,5.113,1320,1943.845,1960.205,1939.498,1945.185,1380,-12.69,7788.733,-15.02,20.707,1
15.06.2023,1945.175,1960.125,1924.898,1958.125,7.827,1380,1946.068,1960.198,1935.468,1950.298,1320,5.113,7792.032,-9.9,24.73,0
17.09.2020,1959.678,1960.008,1932.745,1947.018,-11.107,1380,1945.175,1960.125,1924.898,1958.125,1380,7.827,7788.323,-2,35.227,1
18.09.2020,1947.018,1959.898,1944.985,1949.718,2.7,1260,1959.678,1960.008,1932.745,1947.018,1380,-11.107,7799.449,-12.99,27.263,1
08.11.2020,1954.688,1959.838,1953.318,1958.475,8.757,60,1947.018,1959.898,1944.985,1949.718,1260,2.7,7801.619,-10.18,14.913,0
17.07.2023,1953.255,1959.745,1945.638,1955.355,-3.12,1378,1954.688,1959.838,1953.318,1958.475,60,8.757,7826.319,-1.363,6.52,0
02.02.2023,1952.985,1959.625,1911.225,1915.025,-40.33,1380,1953.255,1959.745,1945.638,1955.355,1378,-3.12,7813.993,-4.39,14.107,1
12.07.2023,1933.235,1959.595,1933.165,1957.685,42.66,1380,1952.985,1959.625,1911.225,1915.025,1380,-40.33,7738.86,-44.6,48.4,0
06.01.2021,1950.148,1959.225,1900.755,1923.985,-33.7,1380,1933.235,1959.595,1933.165,1957.685,1380,42.66,7783.68,-1.91,26.43,1
27.03.2022,1956.968,1959.053,1954.613,1957.063,33.078,120,1950.148,1959.225,1900.755,1923.985,1380,-33.7,7734.113,-35.24,58.47,0
19.06.2023,1957.065,1958.685,1947.685,1952.385,-4.678,1226,1956.968,1959.053,1954.613,1957.063,120,33.078,7827.697,-1.99,4.44,1
18.06.2023,1957.198,1958.404,1956.148,1957.035,4.65,120,1957.065,1958.685,1947.685,1952.385,1226,-4.678,7815.82,-6.3,11,0
28.03.2022,1957.063,1958.258,1916.838,1923.918,-33.117,1380,1957.198,1958.404,1956.148,1957.035,120,4.65,7828.785,-1.369,2.256,1
20.04.2022,1949.592,1958.208,1939.16,1956.662,32.744,1380,1957.063,1958.258,1916.838,1923.918,1380,-33.117,7756.077,-34.34,41.42,0
21.04.2022,1956.658,1957.278,1936.632,1950.848,-5.814,1380,1949.592,1958.208,1939.16,1956.662,1380,32.744,7803.622,-1.546,19.048,0
26.05.2023,1940.475,1957.215,1936.655,1945.788,-5.06,1260,1956.658,1957.278,1936.632,1950.848,1380,-5.814,7801.416,-6.43,20.646,0
20.06.2023,1952.375,1956.675,1929.705,1937.205,-8.583,1378,1940.475,1957.215,1936.655,1945.788,1260,-5.06,7780.133,-11.427,20.56,1
01.02.2023,1927.198,1956.025,1920.435,1952.985,15.78,1380,1952.375,1956.675,1929.705,1937.205,1378,-8.583,7775.96,-19.47,26.97,0
21.08.2020,1952.565,1955.765,1911.238,1939.618,-13.367,1260,1927.198,1956.025,1920.435,1952.985,1380,15.78,7756.643,-3.04,35.59,1
16.07.2023,1954.048,1955.694,1951.194,1953.265,13.647,120,1952.565,1955.765,1911.238,1939.618,1260,-13.367,7759.186,-16.147,44.527,0
22.04.2022,1950.848,1955.482,1926.458,1930.708,-22.557,1260,1954.048,1955.694,1951.194,1953.265,120,13.647,7814.201,-2.429,4.5,0
21.09.2020,1948.258,1955.458,1882.375,1917.018,-13.69,1380,1950.848,1955.482,1926.458,1930.708,1260,-22.557,7763.496,-24.774,29.024,1
20.08.2020,1927.568,1955.125,1924.688,1952.628,35.61,1380,1948.258,1955.458,1882.375,1917.018,1380,-13.69,7703.109,-38.44,73.083,1
26.08.2020,1929.455,1954.918,1902.678,1953.278,0.65,1380,1927.568,1955.125,1924.688,1952.628,1380,35.61,7760.009,-2.497,30.437,0
02.08.2023,1952.055,1954.675,1932.885,1935.965,-17.313,1380,1929.455,1954.918,1902.678,1953.278,1380,0.65,7740.329,-1.64,52.24,1
11.09.2020,1943.858,1954.658,1937.008,1938.928,2.963,1260,1952.055,1954.675,1932.885,1935.965,1380,-17.313,7775.58,-18.71,21.79,1
05.01.2021,1941.518,1953.085,1934.178,1950.108,11.18,1380,1943.858,1954.658,1937.008,1938.928,1260,2.963,7774.452,-15.73,17.65,0
05.11.2020,1904.678,1952.648,1902.358,1946.058,-4.05,1380,1941.518,1953.085,1934.178,1950.108,1380,11.18,7778.889,-2.977,18.907,0
15.03.2022,1952.058,1952.088,1906.948,1917.853,-28.205,1380,1904.678,1952.648,1902.358,1946.058,1380,-4.05,7705.742,-6.59,50.29,1
20.09.2020,1949.588,1951.448,1942.388,1948.348,30.495,120,1952.058,1952.088,1906.948,1917.853,1380,-28.205,7728.947,-34.235,45.14,0
16.08.2020,1948.718,1951.245,1931.855,1932.435,-15.913,120,1949.588,1951.448,1942.388,1948.348,120,30.495,7791.772,-3.1,9.06,0
03.09.2020,1944.565,1950.905,1921.658,1927.855,-4.58,1380,1948.718,1951.245,1931.855,1932.435,120,-15.913,7764.253,-18.81,19.39,1
09.09.2020,1930.118,1950.775,1919.935,1947.288,19.433,1380,1944.565,1950.905,1921.658,1927.855,1380,-4.58,7744.983,-23.05,29.247,0
01.03.2022,1906.178,1950.078,1901.268,1942.188,-5.1,1380,1930.118,1950.775,1919.935,1947.288,1380,19.433,7748.116,-3.487,30.84,1
04.06.2023,1947.045,1949.995,1946.788,1949.255,7.067,120,1906.178,1950.078,1901.268,1942.188,1380,-5.1,7699.712,-7.89,48.81,0
10.04.2022,1946.138,1949.838,1943.118,1944.578,-4.677,120,1947.045,1949.995,1946.788,1949.255,120,7.067,7793.083,-0.74,3.207,0
17.03.2022,1926.888,1949.748,1925.363,1943.778,-0.8,1380,1946.138,1949.838,1943.118,1944.578,120,-4.677,7783.672,-5.26,6.72,0
